word,count
like,22300
want,17299
know,15475
feel,14508
life,14386
even,11497
people,11249
would,11001
time,10829
cant,10446
really,10187
think,8615
never,8031
going,7959
dont,7829
much,7546
friends,7071
good,6799
help,6534
years,6480
make,5971
things,5936
could,5649
still,5400
back,5349
anything,5304
someone,5117
love,5069
something,4986
anymore,4972
always,4942
fucking,4931
better,4812
family,4753
everything,4745
school,4713
every,4713
need,4666
nothing,4619
anyone,4517
live,4443
also,4440
work,4351
talk,4276
right,4231
ever,4217
year,4077
last,3976
kill,3960
this,3955
