word,count
that,53029
have,41998
with,35029
this,33161
just,29405
like,26785
adhd,22398
about,17162
because,16192
feel,16053
been,15760
what,15755
when,15136
time,14521
know,13253
really,12292
they,11760
removed,11370
even,11049
things,10745
work,10573
more,10240
would,9989
from,9827
want,9386
myself,9217
some,9092
people,8595
also,8550
there,8542
them,8455
much,8453
something,8259
life,8014
then,7789
being,7312
think,7235
help,7213
could,7178
take,7156
anyone,7022
after,6859
need,6706
will,6486
which,6473
only,6434
other,6243
very,6218
going,6146
always,6144
