word,count
that,249925
have,178789
just,164759
this,155392
with,142150
like,123468
about,91349
feel,89627
know,85514
want,85261
what,83589
they,73334
because,72260
life,71119
myself,67052
been,65810
when,62558
people,61821
time,60401
really,59477
would,58802
even,58290
from,51816
there,49418
think,45691
will,45317
them,43328
going,42774
friends,42188
never,41995
some,41093
more,40834
only,39597
much,38738
help,37331
being,36543
could,36440
things,35213
then,34822
years,34032
school,32583
filler,32300
make,31270
back,31083
good,31016
anything,30646
something,30312
depression,30309
someone,29351
still,28694
